symbol_nse,symbol_bse,company_name,isin,nse_series,bse_scrip_code,status
AFFORDABLE,AFFORDABLE,Affordable Robotic & Automation Limited,INE692Z01013,EQ,541402,active
AFIL,AFIL,Akme Fintrade (India) Limited,INE916Y01027,EQ,544200,active
,AFL-RE,Arvind Fashions Limited,INE955V20021,,750655,suspended
,AFLPP,Arvind Fashions Limited,IN9955V01011,,890153,delisted
AFSL,AFSL,ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,EQ,543712,active
,AFTEK,Aftek  Ltd.,INE796A01023,,530707,delisted
AGARIND,AGARIND,Agarwal Industrial Corporation Limited,INE204E01012,EQ,531921,active
,AGARWAL,AGARWAL FORTUNE INDIA LIMITED,INE510B01018,,530765,active
AGARWALEYE,AGARWALEYE,Dr. Agarwal's Health Care Limited,INE943P01029,EQ,544350,active
AGI,AGI,AGI GREENPAC LIMITED,INE415A01038,EQ,500187,active
AGIIL,AGIIL,AGI Infra Limited,INE976R01033,EQ,539042,active
,AGIOPAPER,Agio Paper & Industries Limited,INE112C01011,,516020,active
,AGOL,Ashapuri Gold Ornament Limited,INE05FR01029,,542579,active
,AGOL-RE,Ashapuri Gold Ornament Limited,INE05FR20011,,750859,suspended
,AGRIBIO,AGRIBIO SPIRITS LIMITED,INE679E01015,,539546,active
,AGRIMONY,Agrimony Commodities Limited,INE567P01018,,537492,delisted
AGRITECH,AGRITECH,Agri-Tech India Ltd.,INE449G01018,EQ,537292,active
,AGRODUTCH,Agro Dutch Industries Ltd.,INE135B01014,,519281,delisted
,AGSINFO,AGS INFOTECH LIMITED,INE966E01016,,533314,delisted
,AGSTRA,AGS TRANSACT TECHNOLOGIES LIMITED,INE583L01014,,543451,active
,AGVENTURES,AG VENTURES LIMITED,INE321D01016,,506579,active
,AHASOLAR,AHASOLAR TECHNOLOGIES LIMITED,INE0NEV01011,,543941,active
,AHCL,ANLON HEALTHCARE LIMITED,INE0Y8W01017,,544497,active
,AHLCONQ,Ahlcon Parenterals (India) Ltd.,INE027C01011,,524448,delisted
AHLEAST,AHLEAST,Asian Hotels (East) Limited,INE926K01017,EQ,533227,active
AHLUCONT,AHLUCONT,Ahluwalia Contracts (India) Ltd,INE758C01029,EQ,532811,active
,AHLWEST,Asian Hotels (West) Ltd,INE915K01010,,533221,suspended
,AHMDSTE,Ahmedabad Steelcraft Ltd.,INE868C01018,,522273,active
AIAENG,AIAENG,AIA Engineering Ltd.,INE212H01026,EQ,532683,active
,AICHAMP,AI CHAMPDANY INDUSTRIES LIMITED,INE768E01024,,532806,active
,AIFL,ASHAPURA INTIMATES FASHION LIMITED,INE428O01016,,535467,suspended
,AIHL,AMBASSADOR INTRA HOLDINGS LIMITED,INE342U01016,,542524,active
